ID,Pillar,Question,Selected,Selected Text,Raw Score,Max Score,Status,Confidence,Multiplier,Final Score,Evidence Quote,Evidence Page,Reasoning,Suggested Answer
S10,Social,Does the company provide parental leave or flexible working arrangements?,A,"Yes, above statutory minimum",3,3,NOT_FOUND,100,0.5,1.5,n/a,n/a,"The document mentions working hours, rest periods, and paid leave in the context of labor law compliance, but it does not specifically mention parental leave or flexible working arrangements.",NOT_FOUND
G01,Governance,Does the company have a board or governance body that oversees ESG issues?,A,"Yes, dedicated ESG committee",3,3,SUPPORTED,100,1.0,3.0,"Oversight of LATAM's climate-related public policy engagement resides with the Board of Directors, supported by the Board's Strategy and Sustainability Committee, which is responsible for actively monitoring strategic alignment.",p1,"The text explicitly mentions that the Board of Directors and the Board's Strategy and Sustainability Committee oversee climate-related engagement and strategic alignment, which falls under ESG governance.",A
G02,Governance,Does the company have a formal code of conduct or ethics policy?,A,"Yes, published and enforced",3,3,SUPPORTED,100,1.0,3.0,"All lobbying and advocacy activities are conducted under LATAM's Code of Conduct, which establishes guidelines for ethics, transparency, and legality in all interactions with public officials.",p1,The document confirms the existence of a Code of Conduct that establishes guidelines for ethics and transparency.,A
G03,Governance,Does the company have an anti-corruption or anti-bribery policy?,A,"Yes, with training and controls",3,3,SUPPORTED,100,1.0,3.0,- Anti-Corruption Corporate Policy,p15,The document lists 'Anti-Corruption Corporate Policy' as one of the specific governance policies related to the Governance & Economic Dimension.,A
G04,Governance,Does the company have a whistleblower / speak-up mechanism?,A,"Yes, anonymous and independently managed",3,3,NOT_FOUND,100,0.5,1.5,n/a,n/a,"While the document mentions a Code of Conduct and various policies, there is no specific mention of a whistleblower or 'speak-up' mechanism, nor whether it is anonymous or independently managed.",NOT_FOUND
G05,Governance,Does the company have a data-privacy and cybersecurity policy (e.g. GDPR-aligned…,A,"Yes, certified / audited",3,3,SUPPORTED,100,1.0,3.0,"In 2025, the LATAM Group achieved its seventh consecutive certification of compliance with the Payment Card Industry Data Security Standard (PCI DSS, version 4.0), following an external audit conducted by a Qualified Security Assessor (QSA).",p33,The document confirms the existence of an Internal Privacy and Personal Data Protection Policy and mentions external audits/certifications like PCI DSS.,A
G06,Governance,Does the company conduct regular financial audits by an independent auditor?,A,"Yes, statutory external audit",3,3,SUPPORTED,100,1.0,3.0,"PwC, as the independent external auditor, reviewed compliance with Sarbanes-Oxley (SOX) regulations in 2023 and reported the results in 2024 sessions of the Directors' Committee.",p4,The text explicitly mentions PwC as the independent external auditor performing audits and reviewing compliance.,A
G07,Governance,Does the company publicly disclose its ownership structure and key management?,A,"Yes, fully transparent",3,3,NOT_FOUND,80,0.5,1.5,not found,n/a,"While the document mentions the Board of Directors and the CEO, it does not explicitly detail the full ownership structure or provide a comprehensive list of key management to verify 'full transparency' of the ownership structure.",A
G08,Governance,"Does the company align its ESG reporting with a recognised standard (GRI, SASB, …",A,"Yes, fully aligned",3,3,PARTIALLY_SUPPORTED,70,0.7,2.1,"reinforcing transparency, compliance with international standards, and the continuous improvement of the LATAM Group's risk governance practices.",p4,"The text mentions compliance with 'international standards' and 'international governance standards', but it does not explicitly name GRI, SASB, or UN SDGs in the provided text segments.",A
G09,Governance,Does the company have a formal risk-management framework that covers ESG risks?,A,"Yes, integrated into enterprise risk management",3,3,SUPPORTED,100,1.0,3.0,LATAM Group's risk management framework is subject to continuous oversight by the Internal Audit function... LATAM's processes undergo rigorous external audits.,p4,"The document describes a robust risk management framework that includes internal audit, external audit (PwC), and specific mentions of ESG-related risk oversight (e.g., sustainability and climate change strategy linked to compensation and risk models).",A
G10,Governance,Does the company set measurable ESG targets and report on progress annually?,A,"Yes, all three pillars (E, S, G)",3,3,SUPPORTED,100,1.0,3.0,"LATAM's commitment to sustainability is reflected in the definition of climate targets... In 2024, LATAM's Procurement and Sustainability teams launched an ESG evaluation program...",p15,"The document provides evidence of measurable targets for Environmental (climate efficiency), Social (human rights assessment metrics), and Governance (risk management and compliance) pillars.",A
