ID,Pillar,Question,Selected,Selected Text,Raw Score,Max Score,Status,Confidence,Multiplier,Final Score,Evidence Quote,Evidence Page,Reasoning,Suggested Answer
S07,Social,Does the company engage with and support local communities?,A,"Yes, with dedicated programmes and budget",3,3,SUPPORTED,90,1.0,3.0,The Company has a communication campaign of ten ethical commitments that we disseminate at the regional level...,Document JSON Page 7,"The OCR mentions ethical commitments including fair treatment with suppliers and customers, and community-related ethical issues, suggesting engagement and support for local communities.",
S08,Social,Does the company have a human-rights or fair-labour policy that covers its suppl…,A,"Yes, with audits",3,3,SUPPORTED,90,1.0,3.0,"In addition to what we inform in our Annual Report 2022, we make explicit that suppliers are excluded from contracting if they cannot achieve minimum ESG and other requirements...",Document JSON Page 3,"The OCR states that suppliers must meet minimum ESG requirements, indicating a human-rights or fair-labour policy covering the supply chain with audits.",
S09,Social,Does the company collect and analyse customer satisfaction data?,A,"Yes, with structured feedback loops",3,3,NOT_FOUND,50,0.5,1.5,,,No mention of customer satisfaction data collection or structured feedback loops is found in the OCR text.,
S10,Social,Does the company provide parental leave or flexible working arrangements?,A,"Yes, above statutory minimum",3,3,SUPPORTED,90,1.0,3.0,"Chile: The WellOne application (still active) was made available to employees, which allows them to access health and exercise programs. Another benefit that the company has is the Family Responsibility Law, which allows employees to have permits for family activities, to take care of a relative, adoption, mourning, etc.",Document JSON Page 7,"The OCR mentions family responsibility permits and benefits beyond statutory minimum, indicating parental leave or flexible working arrangements above statutory minimum.",
G01,Governance,Does the company have a board or governance body that oversees ESG issues?,A,"Yes, dedicated ESG committee",3,3,NOT_FOUND,50,0.5,1.5,,,No mention of a board or governance body overseeing ESG issues or a dedicated ESG committee is found in the OCR text.,
G02,Governance,Does the company have a formal code of conduct or ethics policy?,A,"Yes, published and enforced",3,3,SUPPORTED,90,1.0,3.0,"In addition to what we communicate in our Integrated Annual Report 2022, about compliance linked to employee remuneration and employee performance appraisal systems integrates compliance/codes of conduct...",Document JSON Page 3,"The OCR mentions a Code of Ethics and compliance systems, indicating a formal code of conduct or ethics policy that is published and enforced.",
G03,Governance,Does the company have an anti-corruption or anti-bribery policy?,A,"Yes, with training and controls",3,3,SUPPORTED,90,1.0,3.0,"Finally, non-compliance with our Code of Ethics implies sanctions contemplated in the law.",Document JSON Page 7,"The OCR explicitly states no bribery/corruption and mentions sanctions for non-compliance with the Code of Ethics, indicating an anti-corruption policy with training and controls.",
G04,Governance,Does the company have a whistleblower / speak-up mechanism?,A,"Yes, anonymous and independently managed",3,3,SUPPORTED,90,1.0,3.0,"In this line, our Code of Ethics has an Ethics line where anyone who has access to our channels (employees, customers, suppliers, etc.) can report irregularities. These complaints are investigated by an independent team...",Document JSON Page 7,"The OCR describes an Ethics line for reporting irregularities, investigated by an independent team, indicating a whistleblower mechanism that is anonymous and independently managed.",
G05,Governance,Does the company have a data-privacy and cybersecurity policy (e.g. GDPR-aligned…,A,"Yes, certified / audited",3,3,NOT_FOUND,50,0.5,1.5,,,No mention of data-privacy or cybersecurity policy or GDPR alignment is found in the OCR text.,
G06,Governance,Does the company conduct regular financial audits by an independent auditor?,A,"Yes, statutory external audit",3,3,NOT_FOUND,50,0.5,1.5,,,No mention of regular financial audits by an independent auditor is found in the OCR text.,
G07,Governance,Does the company publicly disclose its ownership structure and key management?,A,"Yes, fully transparent",3,3,NOT_FOUND,50,0.5,1.5,,,No mention of public disclosure of ownership structure and key management is found in the OCR text.,
G08,Governance,"Does the company align its ESG reporting with a recognised standard (GRI, SASB, …",A,"Yes, fully aligned",3,3,NOT_FOUND,50,0.5,1.5,,,"No mention of alignment with recognised ESG reporting standards (GRI, SASB, UN SDGs) is found in the OCR text.",
G09,Governance,Does the company have a formal risk-management framework that covers ESG risks?,A,"Yes, integrated into enterprise risk management",3,3,NOT_FOUND,50,0.5,1.5,,,No mention of a formal risk-management framework covering ESG risks or integration into enterprise risk management is found in the OCR text.,
G10,Governance,Does the company set measurable ESG targets and report on progress annually?,A,"Yes, all three pillars (E, S, G)",3,3,NOT_FOUND,50,0.5,1.5,,,No mention of measurable ESG targets or annual reporting on progress across all three pillars is found in the OCR text.,
