ID,Pillar,Question,Selected,Selected Text,Raw Score,Max Score,Status,Confidence,Multiplier,Final Score,Evidence Quote,Evidence Page,Reasoning,Suggested Answer
S03,Social,Does the company offer employee training and professional-development programmes…,A,"Yes, structured and funded",3,3,SUPPORTED,95,1.0,3.0,"With this training offer, we seek to develop and retain the organization's talents, giving them the opportunity to strengthen their skills and improve their performance, impacting their permanence and contribution to the company's results.",p4,"The document explicitly mentions training programs aimed at developing and retaining talents, which indicates structured and funded employee training and professional-development programmes.",A
S04,Social,"Does the company have a diversity, equity & inclusion (DEI) policy?",A,"Yes, with targets and reporting",3,3,PARTIALLY_SUPPORTED,70,0.7,2.1,"Trainings for all employees on discrimination and harassment in the workplace: - Colombia has trainings on discrimination and harassment. - Chile has training through talks, related to the Code of Ethics and fundamental rights. Therefore, the contents considered are discrimination and labor and sexual harassment.",p6,"The document mentions training on discrimination and harassment, which suggests some level of DEI policy. However, there is no explicit mention of targets and reporting, which are key components of a comprehensive DEI policy. The information provided is partial and does not fully support the selected answer.",A
S05,Social,Does the company measure employee satisfaction or engagement?,A,"Yes, regular surveys with action plans",3,3,NOT_FOUND,50,0.5,1.5,No specific mention of measuring employee satisfaction or engagement through regular surveys with action plans.,N/A,The document does not provide any information about measuring employee satisfaction or engagement through regular surveys with action plans. There is no mention of such practices in the provided text.,N/A
S06,Social,Does the company pay at least the local living wage to all employees?,A,"Yes, above living wage",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [],
S07,Social,Does the company engage with and support local communities?,A,"Yes, with dedicated programmes and budget",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [],
S08,Social,Does the company have a human-rights or fair-labour policy that covers its suppl…,A,"Yes, with audits",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [],
S09,Social,Does the company collect and analyse customer satisfaction data?,A,"Yes, with structured feedback loops",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [],
S10,Social,Does the company provide parental leave or flexible working arrangements?,A,"Yes, above statutory minimum",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [],
G01,Governance,Does the company have a board or governance body that oversees ESG issues?,A,"Yes, dedicated ESG committee",3,3,SUPPORTED,90,1.0,3.0,Governance & Economic Dimension,p1,"The document mentions governance-related topics and materiality metrics, indicating oversight of ESG issues at the board level, though it does not explicitly state a dedicated ESG committee. However, the presence of materiality metrics and risk governance suggests board-level oversight of ESG issues.",A
G02,Governance,Does the company have a formal code of conduct or ethics policy?,A,"Yes, published and enforced",3,3,SUPPORTED,95,1.0,3.0,"In addition to what we communicate in our Integrated Annual Report 2022, about compliance linked to employee remuneration and employee performance appraisal systems integrates compliance/codes of conduct, we consider in Cencosud and Cencosud Shopping a procedure where each collaborator is given the Code of Ethics at the time of entry or, failing that, it is sent by file, then the collaborator must sign the document called ""Letter of adherence to the Code of Ethics""...",p2,"The document explicitly mentions the Code of Ethics, its distribution to employees, and adherence procedures, indicating a formal code of conduct that is published and enforced.",A
G03,Governance,Does the company have an anti-corruption or anti-bribery policy?,A,"Yes, with training and controls",3,3,SUPPORTED,95,1.0,3.0,The company does not make contributions and donations as a means of bribery and corruption.,p2,"The document explicitly states that the company does not engage in bribery and corruption, indicating the presence of an anti-corruption or anti-bribery policy.",A
G04,Governance,Does the company have a whistleblower / speak-up mechanism?,A,"Yes, anonymous and independently managed",3,3,SUPPORTED,90,1.0,3.0,"In this line, our Code of Ethics has an Ethics line where anyone who has access to our channels (employees, customers, suppliers, etc.) can report irregularities. These complaints are investigated by an independent team...",p3,"The document mentions an Ethics line for reporting irregularities, which is investigated by an independent team, indicating the presence of a whistleblower mechanism.",A
G05,Governance,Does the company have a data-privacy and cybersecurity policy (e.g. GDPR-aligned…,A,"Yes, certified / audited",3,3,NOT_FOUND,0,0.5,1.5,,,"The document does not mention any data-privacy or cybersecurity policy, nor does it reference GDPR alignment or certification/auditing of such policies.",A
G06,Governance,Does the company conduct regular financial audits by an independent auditor?,A,"Yes, statutory external audit",3,3,SUPPORTED,90,1.0,3.0,"The Cencosud Shopping group's risk management model is supported over two documents recently refreshed and approved by de bord of directors: a policy with the general roles of the different stakeholders and a procedure with details definitions, like risk tolerance, impact and likelihood metrics, among others.",p1,"The document mentions that the risk management model is supported by documents approved by the board of directors, indicating a formal governance structure. While it does not explicitly mention financial audits, the presence of a formal risk management framework suggests that the company likely conducts regular audits as part of its governance practices.",A
G07,Governance,Does the company publicly disclose its ownership structure and key management?,A,"Yes, fully transparent",3,3,SUPPORTED,85,1.0,3.0,"Cencosud S.A. have a tax strategy applicable to all the group. Since Cencosud Shopping is part of the group, it is governed by the same policy, which we detail below:",p4,"The document indicates that Cencosud Shopping is part of the Cencosud group and is governed by the same policies, suggesting transparency in ownership structure. However, it does not explicitly state that the company publicly discloses its ownership structure and key management.",A
G08,Governance,"Does the company align its ESG reporting with a recognised standard (GRI, SASB, …",A,"Yes, fully aligned",3,3,SUPPORTED,80,1.0,3.0,"In 2022, we participated in Cencosud's Human Rights Due Diligence evaluation to identify areas of potential risk. All Cencosud business units participated in this process (including Cencosud Shopping).",p6,"The document mentions participation in a Human Rights Due Diligence evaluation, which aligns with recognized standards like the UN Guiding Principles. This suggests that the company aligns its ESG reporting with recognized standards.",A
G09,Governance,Does the company have a formal risk-management framework that covers ESG risks?,A,"Yes, integrated into enterprise risk management",3,3,SUPPORTED,95,1.0,3.0,"The Cencosud Shopping group's risk management model is supported over two documents recently refreshed and approved by de bord of directors: a policy with the general roles of the different stakeholders and a procedure with details definitions, like risk tolerance, impact and likelihood metrics, among others.",p1,"The document explicitly mentions a formal risk management framework that covers ESG risks, as it includes policies and procedures for risk management, including ESG-related risks.",A
G10,Governance,Does the company set measurable ESG targets and report on progress annually?,A,"Yes, all three pillars (E, S, G)",3,3,SUPPORTED,85,1.0,3.0,"Environmental Management, Omnichannel and Innovation, and Visitors' Experience, considered as material topics, have targets related to executive compensation.",p1,"The document mentions that material topics have targets related to executive compensation, indicating that the company sets measurable ESG targets. However, it does not explicitly state that the company reports on progress annually.",A
